20.0,14.0:-80.99999999999999,54.0,120.0
20.0,21.0:-80.99999999999999,54.0,132.0
6.0,23.0:-80.99999999999999,66.0,-0.0
4.0,26.0:-80.99999999999999,66.0,12.0
1.0,28.0:-80.99999999999999,66.0,24.0
-2.0,30.0:-80.99999999999999,66.0,36.0
-6.0,31.0:-80.99999999999999,66.0,48.0
-14.0,29.0:-80.99999999999999,66.0,72.0
-17.0,27.0:-80.99999999999999,66.0,84.0
-20.0,24.0:-80.99999999999999,66.0,96.0
-21.0,21.0:-80.99999999999999,66.0,108.0
-22.0,17.0:-80.99999999999999,66.0,120.0
-22.0,13.0:-80.99999999999999,66.0,132.0
-21.0,-1.0:-80.99999999999999,78.0,-0.0
-21.0,-2.0:-80.99999999999999,78.0,24.0
-21.0,-3.0:-80.99999999999999,78.0,36.0
-20.0,-3.0:-80.99999999999999,78.0,48.0
-20.0,-4.0:-80.99999999999999,78.0,60.0
-20.0,-5.0:-80.99999999999999,78.0,72.0
-19.0,-5.0:-80.99999999999999,78.0,84.0
-19.0,-6.0:-80.99999999999999,78.0,96.0
-18.0,-7.0:-80.99999999999999,78.0,108.0
-17.0,-8.0:-80.99999999999999,78.0,132.0
18.0,7.0:-68.99999999999999,-90.0,-0.0
-11.0,-1.0:-68.99999999999999,-90.0,12.0
18.0,-4.0:-68.99999999999999,-90.0,24.0
-8.0,10.0:-68.99999999999999,-90.0,36.0
12.0,-12.0:-56.999999999999986,78.0,96.0
1.0,15.0:-56.999999999999986,-78.0,60.0
1.0,-14.0:-68.99999999999999,-90.0,72.0
12.0,13.0:-68.99999999999999,-90.0,84.0
-8.0,-9.0:-68.99999999999999,-90.0,96.0
18.0,5.0:-68.99999999999999,-90.0,108.0
-11.0,2.0:-68.99999999999999,-90.0,120.0
18.0,-6.0:-20.999999999999986,42.0,72.0
2.0,22.0:-20.999999999999986,-30.0,72.0
10.0,-5.0:-68.99999999999999,-78.0,12.0
19.0,22.0:-68.99999999999999,-78.0,24.0
-3.0,4.0:-68.99999999999999,-78.0,36.0
25.0,7.0:-44.999999999999986,6.0,48.0
-1.0,20.0:-68.99999999999999,-78.0,60.0
14.0,-5.0:-68.99999999999999,-78.0,72.0
15.0,24.0:-44.999999999999986,30.0,108.0
-1.0,0.0:-68.99999999999999,-78.0,96.0
25.0,11.0:-68.99999999999999,-78.0,108.0
-3.0,17.0:-68.99999999999999,-78.0,120.0
18.0,-3.0:-68.99999999999999,-78.0,132.0
8.0,33.0:-68.99999999999999,-66.0,96.0
-9.0,12.0:-68.99999999999999,-66.0,108.0
18.0,15.0:-8.999999999999986,-6.0,24.0
0.0,5.0:-56.999999999999986,30.0,84.0
17.0,26.0:-68.99999999999999,-66.0,60.0
-10.0,23.0:-68.99999999999999,-66.0,72.0
11.0,6.0:-68.99999999999999,-66.0,84.0
-14.0,3.0:-68.99999999999999,-54.0,-0.0
8.0,18.0:-32.999999999999986,-18.0,12.0
-16.0,28.0:-68.99999999999999,-54.0,24.0
-12.0,2.0:-68.99999999999999,-54.0,36.0
8.0,20.0:-56.999999999999986,6.0,84.0
-18.0,27.0:-68.99999999999999,-54.0,60.0
-9.0,2.0:-68.99999999999999,-54.0,72.0
7.0,22.0:-68.99999999999999,-54.0,84.0
-19.0,25.0:-68.99999999999999,-54.0,96.0
-7.0,1.0:-68.99999999999999,-54.0,108.0
6.0,24.0:-44.999999999999986,6.0,84.0
-20.0,23.0:-68.99999999999999,-54.0,132.0
-9.0,-10.0:-68.99999999999999,-42.0,-0.0
-18.0,17.0:-68.99999999999999,-42.0,24.0
-16.0,-8.0:-68.99999999999999,-42.0,36.0
7.0,3.0:-68.99999999999999,-42.0,48.0
-11.0,20.0:-68.99999999999999,-42.0,60.0
4.0,-4.0:-68.99999999999999,-42.0,84.0
-4.0,20.0:-68.99999999999999,-42.0,96.0
-23.0,4.0:-68.99999999999999,-42.0,108.0
-2.0,-8.0:-68.99999999999999,-42.0,120.0
2.0,16.0:-20.999999999999986,42.0,-0.0
-11.0,8.0:-68.99999999999999,-30.0,-0.0
-5.0,-14.0:-68.99999999999999,-30.0,12.0
16.0,-4.0:-68.99999999999999,-30.0,24.0
3.0,15.0:-68.99999999999999,-30.0,36.0
-13.0,-1.0:-68.99999999999999,-30.0,48.0
4.0,-15.0:-68.99999999999999,-30.0,60.0
16.0,5.0:-68.99999999999999,-30.0,72.0
-6.0,13.0:-68.99999999999999,-30.0,84.0
-10.0,-9.0:-68.99999999999999,-30.0,96.0
13.0,-10.0:-68.99999999999999,-30.0,108.0
10.0,12.0:-32.999999999999986,30.0,12.0
-12.0,6.0:-68.99999999999999,-30.0,132.0
3.0,-6.0:-68.99999999999999,-18.0,-0.0
18.0,20.0:-68.99999999999999,-18.0,24.0
-2.0,16.0:-68.99999999999999,-18.0,36.0
0.0,-4.0:-68.99999999999999,-18.0,48.0
21.0,-3.0:-68.99999999999999,-18.0,60.0
21.0,18.0:-68.99999999999999,-18.0,72.0
0.0,18.0:-68.99999999999999,-18.0,84.0
-2.0,-2.0:-68.99999999999999,-18.0,96.0
19.0,-5.0:-68.99999999999999,-18.0,108.0
23.0,15.0:-68.99999999999999,-18.0,120.0
3.0,20.0:-68.99999999999999,-18.0,132.0
-8.0,14.0:-68.99999999999999,-6.0,-0.0
6.0,3.0:-68.99999999999999,-6.0,12.0
21.0,14.0:-68.99999999999999,-6.0,24.0
14.0,31.0:-68.99999999999999,-6.0,36.0
-4.0,28.0:-68.99999999999999,-6.0,48.0
-7.0,10.0:-68.99999999999999,-6.0,60.0
21.0,17.0:-68.99999999999999,-6.0,84.0
10.0,32.0:-68.99999999999999,-6.0,96.0
-7.0,25.0:-68.99999999999999,-6.0,108.0
-4.0,7.0:-68.99999999999999,-6.0,120.0
14.0,5.0:-68.99999999999999,-6.0,132.0
10.0,19.0:-68.99999999999999,6.0,-0.0
1.0,32.0:-68.99999999999999,6.0,12.0
-14.0,30.0:-68.99999999999999,6.0,24.0
-20.0,15.0:-68.99999999999999,6.0,36.0
-9.0,4.0:-68.99999999999999,6.0,48.0
9.0,23.0:-68.99999999999999,6.0,72.0
-3.0,33.0:-68.99999999999999,6.0,84.0
-17.0,26.0:-68.99999999999999,6.0,96.0
-18.0,11.0:-68.99999999999999,6.0,108.0
-4.0,3.0:-68.99999999999999,6.0,120.0
9.0,12.0:-32.999999999999986,30.0,24.0
4.0,14.0:-68.99999999999999,18.0,-0.0
-6.0,22.0:-68.99999999999999,18.0,12.0
-18.0,19.0:-68.99999999999999,18.0,24.0
-24.0,8.0:-68.99999999999999,18.0,36.0
-19.0,-4.0:-68.99999999999999,18.0,48.0
-6.0,-7.0:-68.99999999999999,18.0,60.0
4.0,1.0:-68.99999999999999,18.0,72.0
5.0,14.0:-56.999999999999986,-6.0,-0.0
-5.0,22.0:-68.99999999999999,18.0,96.0
-18.0,20.0:-68.99999999999999,18.0,108.0
-24.0,9.0:-68.99999999999999,18.0,120.0
-19.0,-3.0:-68.99999999999999,18.0,132.0
-2.0,-15.0:-68.99999999999999,30.0,-0.0
8.0,-12.0:-68.99999999999999,30.0,12.0
13.0,-4.0:-68.99999999999999,30.0,24.0
13.0,6.0:-68.99999999999999,30.0,36.0
6.0,13.0:-68.99999999999999,30.0,48.0
-13.0,10.0:-68.99999999999999,30.0,72.0
-16.0,0.0:-68.99999999999999,30.0,84.0
-13.0,-9.0:-68.99999999999999,30.0,96.0
-4.0,-15.0:-68.99999999999999,30.0,108.0
13.0,-6.0:-68.99999999999999,30.0,132.0
24.0,5.0:-68.99999999999999,42.0,-0.0
22.0,12.0:-68.99999999999999,42.0,12.0
17.0,17.0:-68.99999999999999,42.0,24.0
11.0,20.0:-68.99999999999999,42.0,36.0
-2.0,15.0:-68.99999999999999,42.0,60.0
-6.0,2.0:-68.99999999999999,42.0,84.0
-3.0,-4.0:-68.99999999999999,42.0,96.0
3.0,-9.0:-68.99999999999999,42.0,108.0
16.0,-8.0:-68.99999999999999,42.0,132.0
19.0,5.0:-68.99999999999999,54.0,-0.0
21.0,8.0:-68.99999999999999,54.0,12.0
23.0,12.0:-68.99999999999999,54.0,24.0
23.0,16.0:-68.99999999999999,54.0,36.0
21.0,23.0:-68.99999999999999,54.0,60.0
19.0,26.0:-68.99999999999999,54.0,72.0
16.0,29.0:-68.99999999999999,54.0,84.0
12.0,30.0:-68.99999999999999,54.0,96.0
8.0,31.0:-68.99999999999999,54.0,108.0
5.0,30.0:-68.99999999999999,54.0,120.0
1.0,29.0:-68.99999999999999,54.0,132.0
-11.0,32.0:-68.99999999999999,66.0,-0.0
-11.0,31.0:-68.99999999999999,66.0,12.0
-12.0,31.0:-68.99999999999999,66.0,24.0
-12.0,30.0:-68.99999999999999,66.0,36.0
-13.0,30.0:-68.99999999999999,66.0,48.0
-15.0,28.0:-68.99999999999999,66.0,84.0
-15.0,27.0:-68.99999999999999,66.0,96.0
-16.0,26.0:-68.99999999999999,66.0,120.0
-16.0,25.0:-68.99999999999999,66.0,132.0
-22.0,19.0:-68.99999999999999,78.0,-0.0
-19.0,22.0:-68.99999999999999,78.0,24.0
-17.0,23.0:-68.99999999999999,78.0,36.0
-14.0,24.0:-68.99999999999999,78.0,48.0
-12.0,25.0:-68.99999999999999,78.0,60.0
-3.0,24.0:-44.999999999999986,54.0,12.0
-1.0,23.0:-44.999999999999986,54.0,24.0
-20.0,-2.0:-56.999999999999986,-90.0,-0.0
9.0,-3.0:-56.999999999999986,-90.0,12.0
-15.0,14.0:-56.999999999999986,-90.0,24.0
-4.0,-13.0:-56.999999999999986,-90.0,36.0
2.0,15.0:-32.999999999999986,30.0,132.0
-18.0,-6.0:-56.999999999999986,-90.0,60.0
10.0,1.0:-56.999999999999986,-90.0,72.0
-17.0,11.0:-56.999999999999986,-90.0,84.0
0.0,-12.0:-56.999999999999986,-90.0,96.0
-16.0,-9.0:-56.999999999999986,-90.0,120.0
9.0,5.0:-56.999999999999986,-90.0,132.0
-8.0,9.0:-56.999999999999986,-78.0,96.0
7.0,-14.0:-56.999999999999986,-78.0,108.0
-11.0,-2.0:-56.999999999999986,-78.0,36.0
17.0,-8.0:-56.999999999999986,6.0,48.0
-4.0,-12.0:-56.999999999999986,-78.0,72.0
19.0,3.0:-56.999999999999986,-78.0,84.0
13.0,22.0:-32.999999999999986,-30.0,84.0
22.0,-1.0:-56.999999999999986,-66.0,36.0
